video_name,model,gpu time,frame rate,f1,temporal,spatial,bandwidth
highway_0,faster_rcnn_resnet101,0.04,0.04,0.217897685,1,NA,NA
highway_0,faster_rcnn_inception_v2,0.021886792,0.04,0.155172414,1,NA,NA
highway_0,ssd_mobilenet_v2,0.011698113,0.04,0.114627388,1,NA,NA
highway_0,faster_rcnn_resnet101,0.8,0.8,0.990366089,20,NA,NA
highway_0,faster_rcnn_resnet101,0.6,0.6,0.979609929,15,NA,NA
highway_0,faster_rcnn_resnet101,0.4,0.4,0.93394823,10,NA,NA
highway_0,faster_rcnn_resnet101,0.2,0.2,0.762892709,5,NA,NA
highway_0,faster_rcnn_resnet101,0.16,0.16,0.654566918,4,NA,NA
highway_0,faster_rcnn_resnet101,0.12,0.12,0.532093847,3,NA,NA
highway_0,faster_rcnn_resnet101,0.1,0.1,0.465859854,2.5,NA,NA
highway_0,faster_rcnn_resnet101,0.08,0.08,0.386944321,2,NA,NA
highway_0,faster_rcnn_resnet101,0.072,0.072,0.350371471,1.8,NA,NA
highway_0,faster_rcnn_resnet101,0.06,0.06,0.294013041,1.5,NA,NA
highway_0,faster_rcnn_resnet101,0.048,0.048,0.247407185,1.2,NA,NA
highway_0,faster_rcnn_resnet101,0.04,0.04,0.217897685,1,NA,NA
highway_1,faster_rcnn_resnet101,0.04,0.04,0.176852271,1,NA,NA
highway_1,faster_rcnn_inception_v2,0.021886792,0.04,0.13575158,1,NA,NA
highway_1,ssd_mobilenet_v2,0.011698113,0.04,0.109920308,1,NA,NA
highway_1,faster_rcnn_resnet101,0.8,0.8,0.98982751,20,NA,NA
highway_1,faster_rcnn_resnet101,0.6,0.6,0.979142186,15,NA,NA
highway_1,faster_rcnn_resnet101,0.4,0.4,0.919940916,10,NA,NA
highway_1,faster_rcnn_resnet101,0.2,0.2,0.711824124,5,NA,NA
highway_1,faster_rcnn_resnet101,0.16,0.16,0.598555212,4,NA,NA
highway_1,faster_rcnn_resnet101,0.12,0.12,0.467185435,3,NA,NA
highway_1,faster_rcnn_resnet101,0.1,0.1,0.395424837,2.5,NA,NA
highway_1,faster_rcnn_resnet101,0.08,0.08,0.324900133,2,NA,NA
highway_1,faster_rcnn_resnet101,0.072,0.072,0.295579699,1.8,NA,NA
highway_1,faster_rcnn_resnet101,0.06,0.06,0.257263834,1.5,NA,NA
highway_1,faster_rcnn_resnet101,0.048,0.048,0.209298893,1.2,NA,NA
highway_1,faster_rcnn_resnet101,0.04,0.04,0.176852271,1,NA,NA
highway_2,faster_rcnn_resnet101,0.04,0.04,0.185726328,1,NA,NA
highway_2,faster_rcnn_inception_v2,0.021886792,0.04,0.151104017,1,NA,NA
highway_2,ssd_mobilenet_v2,0.011698113,0.04,0.131959838,1,NA,NA
highway_2,faster_rcnn_resnet101,0.8,0.8,0.991093793,20,NA,NA
highway_2,faster_rcnn_resnet101,0.6,0.6,0.981716678,15,NA,NA
highway_2,faster_rcnn_resnet101,0.4,0.4,0.923740607,10,NA,NA
highway_2,faster_rcnn_resnet101,0.2,0.2,0.725201445,5,NA,NA
highway_2,faster_rcnn_resnet101,0.16,0.16,0.623743017,4,NA,NA
highway_2,faster_rcnn_resnet101,0.12,0.12,0.498802311,3,NA,NA
highway_2,faster_rcnn_resnet101,0.1,0.1,0.426138724,2.5,NA,NA
highway_2,faster_rcnn_resnet101,0.08,0.08,0.349734414,2,NA,NA
highway_2,faster_rcnn_resnet101,0.072,0.072,0.318699639,1.8,NA,NA
highway_2,faster_rcnn_resnet101,0.06,0.06,0.27286954,1.5,NA,NA
highway_2,faster_rcnn_resnet101,0.048,0.048,0.225837853,1.2,NA,NA
highway_2,faster_rcnn_resnet101,0.04,0.04,0.185726328,1,NA,NA
highway_3,faster_rcnn_resnet101,0.04,0.04,0.349299208,1,NA,NA
highway_3,faster_rcnn_inception_v2,0.021886792,0.04,0.281853282,1,NA,NA
highway_3,ssd_mobilenet_v2,0.011698113,0.04,0.283502773,1,NA,NA
highway_3,faster_rcnn_resnet101,0.8,0.8,0.990173481,20,NA,NA
highway_3,faster_rcnn_resnet101,0.6,0.6,0.982562364,15,NA,NA
highway_3,faster_rcnn_resnet101,0.4,0.4,0.942162819,10,NA,NA
highway_3,faster_rcnn_resnet101,0.2,0.2,0.861482382,5,NA,NA
highway_3,faster_rcnn_resnet101,0.16,0.16,0.820362928,4,NA,NA
highway_3,faster_rcnn_resnet101,0.12,0.12,0.749331388,3,NA,NA
highway_3,faster_rcnn_resnet101,0.1,0.1,0.681895504,2.5,NA,NA
highway_3,faster_rcnn_resnet101,0.08,0.08,0.591504468,2,NA,NA
highway_3,faster_rcnn_resnet101,0.072,0.072,0.5404814,1.8,NA,NA
highway_3,faster_rcnn_resnet101,0.06,0.06,0.485462661,1.5,NA,NA
highway_3,faster_rcnn_resnet101,0.048,0.048,0.399312799,1.2,NA,NA
highway_3,faster_rcnn_resnet101,0.04,0.04,0.349299208,1,NA,NA
highway_4,faster_rcnn_resnet101,0.04,0.04,0.642291286,1,NA,NA
highway_4,faster_rcnn_inception_v2,0.021886792,0.04,0.532996692,1,NA,NA
highway_4,ssd_mobilenet_v2,0.011698113,0.04,0.461020844,1,NA,NA
highway_4,faster_rcnn_resnet101,0.8,0.8,0.994064779,20,NA,NA
highway_4,faster_rcnn_resnet101,0.6,0.6,0.988157672,15,NA,NA
highway_4,faster_rcnn_resnet101,0.4,0.4,0.958036018,10,NA,NA
highway_4,faster_rcnn_resnet101,0.2,0.2,0.887794941,5,NA,NA
highway_4,faster_rcnn_resnet101,0.16,0.16,0.865968854,4,NA,NA
highway_4,faster_rcnn_resnet101,0.12,0.12,0.840306423,3,NA,NA
highway_4,faster_rcnn_resnet101,0.1,0.1,0.814060896,2.5,NA,NA
highway_4,faster_rcnn_resnet101,0.08,0.08,0.783199931,2,NA,NA
highway_4,faster_rcnn_resnet101,0.072,0.072,0.760725793,1.8,NA,NA
highway_4,faster_rcnn_resnet101,0.06,0.06,0.722746638,1.5,NA,NA
highway_4,faster_rcnn_resnet101,0.048,0.048,0.68668584,1.2,NA,NA
highway_4,faster_rcnn_resnet101,0.04,0.04,0.642291286,1,NA,NA
highway_5,faster_rcnn_resnet101,0.04,0.04,0.395005371,1,NA,NA
highway_5,faster_rcnn_inception_v2,0.021886792,0.04,0.295214923,1,NA,NA
highway_5,ssd_mobilenet_v2,0.011698113,0.04,0.273142383,1,NA,NA
highway_5,faster_rcnn_resnet101,0.8,0.8,0.99304918,20,NA,NA
highway_5,faster_rcnn_resnet101,0.6,0.6,0.989013863,15,NA,NA
highway_5,faster_rcnn_resnet101,0.4,0.4,0.950630252,10,NA,NA
